ID,Authors,Year,Journal,Title,Abstract,Keywords,Decision,Terms for NO,Terms for P No,Terms for P Yes,Terms for YES,Extra note
151,Cocos,2017,Journal of the American Medical Informatics Association : JAMIA,Deep learning for pharmacovigilance: recurrent neural network architectures for labeling adverse drug reactions in Twitter posts,"Objective: Social media is an important pharmacovigilance data source for adverse drug reaction (ADR) identification. Human review of social media data is infeasible due to data quantity, thus natural language processing techniques are necessary. Social media includes informal vocabulary and irregular grammar, which challenge natural language processing methods. Our objective is to develop a scalable, deep-learning approach that exceeds state-of-the-art ADR detection performance in social media. Materials and Methods: We developed a recurrent neural network (RNN) model that labels words in an input sequence with ADR membership tags. The only input features are word-embedding vectors, which can be formed through task-independent pretraining or during ADR detection training. Results: Our best-performing RNN model used pretrained word embeddings created from a large, non-domain-specific Twitter dataset. It achieved an approximate match F-measure of 0.755 for ADR identification on the dataset, compared to 0.631 for a baseline lexicon system and 0.65 for the state-of-the-art conditional random field model. Feature analysis indicated that semantic information in pretrained word embeddings boosted sensitivity and, combined with contextual awareness captured in the RNN, precision. Discussion: Our model required no task-specific feature engineering, suggesting generalizability to additional sequence-labeling tasks. Learning curve analysis showed that our model reached optimal performance with fewer training examples than the other models. Conclusion: ADR detection performance in social media is significantly improved by using a contextually aware model and word embeddings formed from large, unlabeled datasets. The approach reduces manual data-labeling requirements and is scalable to large social media datasets.", Drug-Related Side Effects and Adverse Reactions/*diagnosis; Humans; Machine Learning; *Natural Language Processing; *Neural Networks (Computer); *Pharmacovigilance; *Social Media; Twitter messaging; adverse drug reaction; natural language processing; neural networks (computer); social media,-1,,Twitter,,,
152,Cahan,2017,Journal of medical Internet research,A Learning Health Care System Using Computer-Aided Diagnosis,"Physicians intuitively apply pattern recognition when evaluating a patient. Rational diagnosis making requires that clinical patterns be put in the context of disease prior probability, yet physicians often exhibit flawed probabilistic reasoning. Difficulties in making a diagnosis are reflected in the high rates of deadly and costly diagnostic errors. Introduced 6 decades ago, computerized diagnosis support systems are still not widely used by internists. These systems cannot efficiently recognize patterns and are unable to consider the base rate of potential diagnoses. We review the limitations of current computer-aided diagnosis support systems. We then portray future diagnosis support systems and provide a conceptual framework for their development. We argue for capturing physician knowledge using a novel knowledge representation model of the clinical picture. This model (based on structured patient presentation patterns) holds not only symptoms and signs but also their temporal and semantic interrelations. We call for the collection of crowdsourced, automatically deidentified, structured patient patterns as means to support distributed knowledge accumulation and maintenance. In this approach, each structured patient pattern adds to a self-growing and -maintaining knowledge base, sharing the experience of physicians worldwide. Besides supporting diagnosis by relating the symptoms and signs with the final diagnosis recorded, the collective pattern map can also provide disease base-rate estimates and real-time surveillance for early detection of outbreaks. We explain how health care in resource-limited settings can benefit from using this approach and how it can be applied to provide feedback-rich medical education for both students and practitioners."," Delivery of Health Care/*methods; Diagnosis, Computer-Assisted/*methods; Humans; *crowdsourcing; *decision support systems, clinical; *diagnosis support systems; *diagnosis, computer-assisted; *diagnostic errors; *knowledge bases; *knowledge management; *pattern recognition, automated; *structured knowledge representation",-2,Computer-aided diagnosis,,,,
153,Cotton,2017,BMC bioinformatics,flippant-An R package for the automated analysis of fluorescence-based scramblase assays,"BACKGROUND: The lipid scrambling activity of protein extracts and purified scramblases is typically measured using a fluorescence-based assay. While the assay has yielded insight into the scramblase activity in crude membrane preparations, functional validation of candidate scramblases, stoichiometry of scramblase complexes as well as ATP-dependence of flippases, data analysis in its context has remained a task involving many manual steps. RESULTS: With the extension package ""flippant"" to R, a free software environment for statistical computing and graphics, we introduce an integrated solution for the analysis and publication-grade graphical presentation of dithionite scramblase assays and demonstrate its utility in revisiting an originally manual analysis from the publication record, closely reproducing the reported results. CONCLUSIONS: ""flippant"" allows for quick, reproducible data analysis of scramblase activity assays and provides a platform for review, dissemination and extension of the strategies it employs.", Biochemistry/*methods; Fluorescence; Humans; *Lipids; Phospholipid Transfer Proteins/analysis/*metabolism; *Software; Dithionite scramblase assay; R; Scramblase,-2,,,,,
154,Souri,2017,Systematic reviews,Identification of validated case definitions for chronic disease using electronic medical records: a systematic review protocol,"BACKGROUND: Primary care electronic medical record (EMR) data are being used for research, surveillance, and clinical monitoring. To broaden the reach and usability of EMR data, case definitions must be specified to identify and characterize important chronic conditions. The purpose of this study is to identify all case definitions for a set of chronic conditions that have been tested and validated in primary care EMR and EMR-linked data. This work will provide a reference list of case definitions, together with their performance metrics, and will identify gaps where new case definitions are needed. METHODS: We will consider a set of 40 chronic conditions, previously identified as potentially important for surveillance in a review of multimorbidity measures. We will perform a systematic search of the published literature to identify studies that describe case definitions for clinical conditions in EMR data and report the performance of these definitions. We will stratify our search by studies that use EMR data alone and those that use EMR-linked data. We will compare the performance of different definitions for the same conditions and explore the influence of data source, jurisdiction, and patient population. DISCUSSION: EMR data from primary care providers can be compiled and used for benefit by the healthcare system. Not only does this work have the potential to further develop disease surveillance and health knowledge, EMR surveillance systems can provide rapid feedback to participating physicians regarding their patients. Existing case definitions will serve as a starting point for the development and validation of new case definitions and will enable better surveillance, research, and practice feedback based on detailed clinical EMR data. SYSTEMATIC REVIEW REGISTRATION: PROSPERO CRD42016040020.", Chronic Disease/*epidemiology; *Electronic Health Records/statistics & numerical data; Humans; Reproducibility of Results; *Systematic Reviews as Topic; *Big data; *Case definitions; *Chronic disease; *Electronic medical record; *Systematic review,-2,,Electronic medical records,,,
155,Wang,2017,PloS one,Clinical evaluation of new automatic coronary-specific best cardiac phase selection algorithm for single-beat coronary CT angiography,"The aim of this study was to evaluate the workflow efficiency of a new automatic coronary-specific reconstruction technique (Smart Phase, GE Healthcare-SP) for selection of the best cardiac phase with least coronary motion when compared with expert manual selection (MS) of best phase in patients with high heart rate. A total of 46 patients with heart rates above 75 bpm who underwent single beat coronary computed tomography angiography (CCTA) were enrolled in this study. CCTA of all subjects were performed on a 256-detector row CT scanner (Revolution CT, GE Healthcare, Waukesha, Wisconsin, US). With the SP technique, the acquired phase range was automatically searched in 2% phase intervals during the reconstruction process to determine the optimal phase for coronary assessment, while for routine expert MS, reconstructions were performed at 5% intervals and a best phase was manually determined. The reconstruction and review times were recorded to measure the workflow efficiency for each method. Two reviewers subjectively assessed image quality for each coronary artery in the MS and SP reconstruction volumes using a 4-point grading scale. The average HR of the enrolled patients was 91.1+/-19.0bpm. A total of 204 vessels were assessed. The subjective image quality using SP was comparable to that of the MS, 1.45+/-0.85 vs 1.43+/-0.81 respectively (p = 0.88). The average time was 246 seconds for the manual best phase selection, and 98 seconds for the SP selection, resulting in average time saving of 148 seconds (60%) with use of the SP algorithm. The coronary specific automatic cardiac best phase selection technique (Smart Phase) improves clinical workflow in high heart rate patients and provides image quality comparable with manual cardiac best phase selection. Reconstruction of single-beat CCTA exams with SP can benefit the users with less experienced in CCTA image interpretation."," Adult; Aged; Algorithms; Computed Tomography Angiography/*methods; Coronary Angiography/*methods; Coronary Artery Disease/*diagnostic imaging; Coronary Vessels/*diagnostic imaging; Female; Heart Rate; Humans; Male; Middle Aged; Radiographic Image Enhancement/*methods; Radiographic Image Interpretation, Computer-Assisted/*methods",-2,,,,,
156,Tusting,2017,PLoS medicine,Housing Improvements and Malaria Risk in Sub-Saharan Africa: A Multi-Country Analysis of Survey Data,"BACKGROUND: Improvements to housing may contribute to malaria control and elimination by reducing house entry by malaria vectors and thus exposure to biting. We tested the hypothesis that the odds of malaria infection are lower in modern, improved housing compared to traditional housing in sub-Saharan Africa (SSA). METHODS AND FINDINGS: We analysed 15 Demographic and Health Surveys (DHS) and 14 Malaria Indicator Surveys (MIS) conducted in 21 countries in SSA between 2008 and 2015 that measured malaria infection by microscopy or rapid diagnostic test (RDT). DHS/MIS surveys record whether houses are built with finished materials (e.g., metal) or rudimentary materials (e.g., thatch). This information was used to develop a binary housing quality variable where houses built using finished wall, roof, and floor materials were classified as ""modern"", and all other houses were classified as ""traditional"". Conditional logistic regression was used to determine the association between housing quality and prevalence of malaria infection in children aged 0-5 y, adjusting for age, gender, insecticide-treated net (ITN) use, indoor residual spraying, household wealth, and geographic cluster. Individual survey odds ratios (ORs) were combined to determine a summary OR using a random effects meta-analysis. Of 284,532 total children surveyed, 139,318 were tested for malaria infection using microscopy (n = 131,652) or RDT (n = 138,540). Within individual surveys, malaria prevalence measured by microscopy ranged from 0.4% (Madagascar 2011) to 45.5% (Burkina Faso 2010) among children living in modern houses and from 0.4% (The Gambia 2013) to 70.6% (Burkina Faso 2010) in traditional houses, and malaria prevalence measured by RDT ranged from 0.3% (Senegal 2013-2014) to 61.2% (Burkina Faso 2010) in modern houses and from 1.5% (The Gambia 2013) to 79.8% (Burkina Faso 2010) in traditional houses. Across all surveys, modern housing was associated with a 9% to 14% reduction in the odds of malaria infection (microscopy: adjusted OR 0.91, 95% CI 0.85-0.97, p = 0.003; RDT: adjusted OR 0.86, 95% CI 0.80-0.92, p < 0.001). This association was consistent regardless of ITN usage. As a comparison, the odds of malaria infection were 15% to 16% lower among ITN users versus non-users (microscopy: adjusted OR 0.84, 95% CI 0.79-0.90, p < 0.001; RDT: adjusted OR 0.85, 95% CI 0.80-0.90, p < 0.001). The main limitation of this study is that residual confounding by household wealth of the observed association between housing quality and malaria prevalence is possible, since the wealth index may not have fully captured differences in socioeconomic position; however, the use of multiple national surveys offers the advantage of a large sample size and the elimination of many biases typically associated with pooling observational data. CONCLUSIONS: Housing quality is an important risk factor for malaria infection across the spectrum of malaria endemicity in SSA, with a strength of association between housing quality and malaria similar to that observed between ITN use and malaria. Improved housing should be considered a promising intervention for malaria control and elimination and long-term prevention of reintroduction."," Africa South of the Sahara/epidemiology; Child, Preschool; Cross-Sectional Studies; Female; *Housing/standards; Humans; Infant; Infant, Newborn; Malaria/*epidemiology; Male; Risk Factors",-2,,,,,
157,Marshall,2017,Systematic reviews,Documenting research with transgender and gender diverse people: protocol for an evidence map and thematic analysis,"BACKGROUND: There is limited information about how transgender, gender diverse, and Two-Spirit (trans) people have been represented and studied by researchers. The objectives of this study are to (1) map and describe trans research in the social sciences, sciences, humanities, health, education, and business, (2) identify evidence gaps and opportunities for more responsible research with trans people, (3) assess the use of text mining for study identification, and (4) increase access to trans research for key stakeholders through the creation of a web-based evidence map. METHODS: Study design was informed by community consultations and pilot searches. Eligibility criteria were established to include all original research of any design, including trans people or their health information, and published in English in peer-reviewed journals. A complex electronic search strategy based on relevant concepts in 15 databases was developed to obtain a broad range of results linked to transgender, gender diverse, and Two-Spirit individuals and communities. Searches conducted in early 2015 resulted in 25,242 references after removal of duplicates. Based on the number of references, resources, and an objective to capture upwards of 90% of the existing literature, this study is a good candidate for text mining using Latent Dirichlet Allocation to improve efficiency of the screening process. The following information will be collected for evidence mapping: study topic, study design, methods and data sources, recruitment strategies, sample size, sample demographics, researcher name and affiliation, country where research was conducted, funding source, and year of publication. DISCUSSION: The proposed research incorporates an extensive search strategy, text mining, and evidence map; it therefore has the potential to build on knowledge in several fields. Review results will increase awareness of existing trans research, identify evidence gaps, and inform strategic research prioritization. Publishing the map online will improve access to research for key stakeholders including community members, policy makers, and healthcare providers. This study will also contribute to knowledge in the area of text mining for study identification by providing an example of how semi-automation performs for screening on title and abstract and on full text.", Documentation/*methods; Humans; *Research Design; *Sexual and Gender Minorities; Transgender Persons; *Evidence map; *Gender diverse; *Research ethics; *Research prioritization; *Responsible research; *Text mining; *Transgender,2,,,Evidence map,,
158,Rochefort,2017,BMC health services research,Accuracy and generalizability of using automated methods for identifying adverse events from electronic health record data: a validation study protocol,"BACKGROUND: Adverse events (AEs) in acute care hospitals are frequent and associated with significant morbidity, mortality, and costs. Measuring AEs is necessary for quality improvement and benchmarking purposes, but current detection methods lack in accuracy, efficiency, and generalizability. The growing availability of electronic health records (EHR) and the development of natural language processing techniques for encoding narrative data offer an opportunity to develop potentially better methods. The purpose of this study is to determine the accuracy and generalizability of using automated methods for detecting three high-incidence and high-impact AEs from EHR data: a) hospital-acquired pneumonia, b) ventilator-associated event and, c) central line-associated bloodstream infection. METHODS: This validation study will be conducted among medical, surgical and ICU patients admitted between 2013 and 2016 to the Centre hospitalier universitaire de Sherbrooke (CHUS) and the McGill University Health Centre (MUHC), which has both French and English sites. A random 60% sample of CHUS patients will be used for model development purposes (cohort 1, development set). Using a random sample of these patients, a reference standard assessment of their medical chart will be performed. Multivariate logistic regression and the area under the curve (AUC) will be employed to iteratively develop and optimize three automated AE detection models (i.e., one per AE of interest) using EHR data from the CHUS. These models will then be validated on a random sample of the remaining 40% of CHUS patients (cohort 1, internal validation set) using chart review to assess accuracy. The most accurate models developed and validated at the CHUS will then be applied to EHR data from a random sample of patients admitted to the MUHC French site (cohort 2) and English site (cohort 3)-a critical requirement given the use of narrative data -, and accuracy will be assessed using chart review. Generalizability will be determined by comparing AUCs from cohorts 2 and 3 to those from cohort 1. DISCUSSION: This study will likely produce more accurate and efficient measures of AEs. These measures could be used to assess the incidence rates of AEs, evaluate the success of preventive interventions, or benchmark performance across hospitals."," Catheterization, Central Venous/*adverse effects; Cross Infection/*epidemiology; Electronic Health Records/statistics & numerical data; Female; Hospitalization/statistics & numerical data; Hospitals; Humans; Incidence; Male; Natural Language Processing; Pneumonia/epidemiology; Quality Improvement; Respiration, Artificial/*adverse effects; *Acute care hospital; *Adverse events; *Automated detection; *Data warehouse; *Electronic health record; *Natural language processing; *Patient safety",-1,,Electronic health record ,,,
159,Liu,2017,PloS one,The association between body mass index and mortality among Asian peritoneal dialysis patients: A meta-analysis,"BACKGROUND: Previous studies have revealed that increased body mass index (BMI) is associated with decreased mortality among hemodialysis patients. However, few studies have dealt with the association between BMI and mortality among patients undergoing peritoneal dialysis (PD) and even fewer studies have focused on the Asian PD patients. The reported studies were often non-conclusive and some even yielded contradictory results. This paper, to our best knowledge, registers the first attempt to systematically review the current literature and summarize new results on the association between BMI and mortality among the Asian PD population. METHOD: A systematic literature review was performed in Medline and EMBASE to identify relevant cohort studies on all-cause and cardiovascular disease (CVD) mortality stratified by BMI categories tailored to Asians among the Asian PD population. We meta-analyzed individual results based on a random effect model, strictly complying with Preferred Reporting Items for Systematic Reviews and Meta-analysis. RESULTS: The paper reviews seven cohort studies with a total of 3,610 Asian PD patients. Obese group (BMI = 25-29.9 kg/m2) was associated with higher risk of all-cause mortality (HR = 1.46, 95%CI [1.07-1.98]; p = 0.02) and CVD mortality (HR = 2.01, 95%CI [1.14-3.54]; p = 0.02), compared to the normal group (BMI = 18.5-22.9 kg/m2). The underweight group (BMI<18.5kg/m2) was also associated with an elevated risk of all-cause mortality (HR = 2.11, 95%CI [1.46-3.07]; p<0.001). No significant associations between BMI with all-cause mortality were found among the overweight group (23-24.9 kg/m2) (HR = 1.00, 95%CI [0.76-1.32]; p = 0.9). The association between BMI and CVD mortality risk among the underweight and overweight groups was found nonsignificant (p = 0.5 and 0.6 respectively). CONCLUSION: Obesity is associated with increased mortality in Asian PD patients. The study indicates a ""V-shaped"" trend in the association between BMI and mortality in these patients.", *Body Mass Index; Humans; Obesity/*physiopathology; Peritoneal Dialysis/*mortality; Risk Factors; Survival Rate,-2,,,,,
160,Cahan,2017,International journal of medical informatics,Computer-aided assessment of the generalizability of clinical trial results,"BACKGROUND: The effects of an intervention on patients from populations other than that included in a trial may vary as a result of differences in population features, treatment administration, or general setting. Determining the generalizability of a trial to a target population is important in clinical decision making at both the individual practitioner and policy-making levels. However, awareness to the challenges associated with the assessment of generalizability of trials is low and tools to facilitate such assessment are lacking. METHODS: We review the main factors affecting the generalizability of a clinical trial results beyond the trial population. We then propose a framework for a standardized evaluation of parameters relevant to determining the external validity of clinical trials to produce a ""generalizability score"". We then apply this framework to populations of patients with heart failure included in trials, cohorts and registries to demonstrate the use of the generalizability score and its graphic representation along three dimensions: participants' demographics, their clinical profile and intervention setting. We use the generalizability score to compare a single trial to multiple ""target"" clinical scenarios. Additionally, we present the generalizability score of several studies with regard to a single ""target"" population. RESULTS: Similarity indices vary considerably between trials and target population, but inconsistent reporting of participant characteristics limit head-to-head comparisons. CONCLUSION: We discuss the challenges involved in performing automatic assessment of trial generalizability at scale and propose the adoption of a standard format for reporting the characteristics of trial participants to enable better interpretation of their results.", Clinical Trials as Topic/*standards/*statistics & numerical data; *Computer-Aided Design; Humans; *Patient Selection; *Research Design; *Clinical trials; *Decision support; *External validity; *Generalizability; *Similarity assessment,-1,,,Automatic assessment ,,
